"编号","建议用字","对应华语"
1,阮、咱,我/我们
2,汝、恁,你/你们
3,伊、因,他/他们（她/她们）
4,逐个、逐家,大家
5,婴仔,婴儿
6,囡仔、囡,小孩/孩子
7,后生,儿子
8,阿嬷,外婆/奶奶
9,老母,母亲
10,阿公,祖父/爷爷/外公
11,阿爸、爸,爸爸
12,阿妈、阿母,妈妈
13,同窗,同学
14,头家,老板
15,即阵,现在
16,较早、往摆,以前
17,后摆、后日,以后
18,逐日、规日,每天/天天
19,明仔载、明仔日,明天
20,下昏、暗暝,夜晚/晚上
21,透早,清晨/早上
22,规日,整天
23,毋,不
24,毋免,不用/不必
25,毋过,不过
26,无细心,不小心
27,有够、真,很/非常
28,小可仔,稍微/有点
29,遮,这里
30,遐,那里
31,安尼,这样
32,讲,说
33,嘛,也
34,物件,东西
35,会晓、知影,知道
36,歹,坏
37,相共、相款,一样/相同
38,欢喜,喜欢/开心
39,代誌,事情
40,古锥,可爱
41,后壁,后面
42,即个,这位/这个
43,迄个,那个
44,头前,前面
45,外口,外面
46,内面,里面
47,好呣,好吗
48,甲,和/跟
49,互,给/让
50,费神,麻烦
