分类,普通话,方言正字【标注参考这列】,发音
词汇,太阳,日头,nie diu
词汇,星星,星,xing
词汇,闪电,霍刷=,xue xye
词汇,雷,天雷,thia le
词汇,下雨,落雨,lo y
词汇,淋,沰,to
词汇,淋,落,lo
词汇,露,露水,lu xy
词汇,虹,鲎,xiu
词汇,日食,天狗吃日头,thia kiu qie nie diu
词汇,月食,天狗吃月亮,thia kiu qie nye liang
词汇,天气,天公,thia kong
词汇,旱,晒去,sa khe
词汇,涝,满大水,me tue xy
词汇,涝,涨大水,jiang tue xy
词汇,旱地,燥田,sao dia
词汇,田埂,田塍,dia ring
词汇,山谷,山峡,sa gua
词汇,江,大溪,tue qie
词汇,溪,小溪,siao qie
词汇,水沟儿,渎,do
词汇,水沟儿,水渎,xy do
词汇,池塘,塘,dang
词汇,水坑儿,水堰＝凼,xy ie dang
词汇,洪水,大水,tue xy
词汇,淹,𩑦,ue
词汇,河岸,磡,khe
词汇,河岸,岸,e
词汇,缝儿,缝,vong
词汇,土,糊泥,u nie
词汇,泥,糊泥,u nie
词汇,水泥,洋灰,iang xui
词汇,沙子,沙泥,sua nie
词汇,砖,砖头,jye tiu
词汇,瓦,瓦片,ua phie
词汇,煤油,洋油,iang iu
词汇,灰尘,灰塕,xui ong
词汇,失火,火着,xue jie
词汇,凉水,冷水,lang xy
词汇,开水,滚汤,kueng thang
词汇,开水,茶,dzua
词汇,磁铁,吸铁石,xie thia rie
词汇,时候,时节,zi tsia
词汇,什么时候,哪记,la jie
词汇,什么时候,哪样节,la iang tsia
词汇,现在,个记,ke jie
词汇,现在,样节,iang tsia
词汇,一辈子,一世,ie xye
词汇,去年,上年,xiang nia
词汇,今天,今日儿,jing ni
词汇,明天,明朝,ming jiao
词汇,后天,后日,eu nie
词汇,大后天,大后日,due eu nie
词汇,昨天,昨儿日儿,sang ni
词汇,前天,前日儿,zia ni
词汇,大前天,大前日儿,due zia ni
词汇,整天,整日,jing nie
词汇,每天,每日,me nie
词汇,早晨,五更儿,ng ke
词汇,早晨,五更儿头儿,ng ke ding
词汇,上午,五更儿,ng ke
词汇,上午,午前,ng zia
词汇,中午,午饭,ng va
词汇,下午,午罢,ng pa
词汇,下午,午罢头儿,ng pa ding
