柳州话读音,柳州字转写用字,释义
ǎi,挨,被
ǎi luàn,挨卵,摊上事
ǎi luò,挨啰,被骗
bō,啵,啊；哦
bǒ dì,搏底,使劲；往死里
dào,(看)到,(看)着
dào,(等)到,(等)着
dē,的,的
dě,得,得
dī,滴,的；地
dōu,蔸,颗
fā yiǎ,发惹,生气
guǒ,啯,啊
guó,个,个
gé,个,个
gèn,哏,这么多
gén zì,哏子,这样
jié yàng,介样,这样
jèn,紧,总是；老是
ké,克,去
kè,可以,可以
kuò yì,阔以,可以
ké nà kài,克哪凯,去哪里
liě,咧,咧
luàn zài,卵仔,小孩
luò,络,一坨；坨
luò xì,啰洗,诓骗
lái,㸊,烫
lāo jiǎo,捞搅,捞搅
lì tǒu,里头,里；里面
lāi,癞,差
lō,咯,吗；嘛
lu shi,陆十,六十
miē、miè,咩,吗
màng,马上,马上；立刻
méi,没,不
mì gòu,米狗,死了
miao,喵,猫
mā lōu,吗喽,猴子
niāo niāo dī,袅袅滴,黏黏的
niǎ huò,惹火,生气
nà guó,哪个,哪个
ná guó,那个,那个
nèn zì,恁子，嫩子,怎么
nòng,那种,那种
nōng,哝,叫；催促
nōng,㶶,烧焦
ō jī sùn,莴苣笋,莴苣笋
ǒ；ó,恶,凶
shèn mà,什嘛,什么
shèn mè,什么,什么
shí,是,是
shāo jiǎ,烧甲,蟑螂
shǎo,勺,吃
tuō hǎi,拖孩,拖鞋
wò cáo,我草、我操,我草、我操
 hǎi,孩,鞋
wò diào,我叼,我操
wò káo,我靠,我的天
wǎ zài,娃仔,小孩
xì,(打游戏)洗,(打游戏)菜
xì mà,系嘛,什么
xí,系,是
zòng,总,老是
zóu shèn mà,揍什嘛,做什么
jiàng zǐ,酱子，酱紫,这样
pǎng hái,旁海,螃蟹
yín,银,人
mǎng,莽,马上；立刻
xū,虚,书
rǔ,如,肉
qǐ,"奇,七",吃
chǐ,吃,吃
额外词汇,,
,口盅,茶杯。
,山猫,兔子。
,飞鼠,蝙蝠。
,马甲,背心。
,马仔,幼马；小马。
,吗喽,猴子。
,马蹄,茡荠（因其地下块茎形似马蹄，故名）。
,马卵古,鹅卵石。
,天星,星；星星。
,牛仔,小牛。
,手梗,胳膊。
,毛蒜,大蒜头。
,毛秀才,指西红柿。
,长尾巴,小孩、年轻人过生日。
,火砖,砖头。
,火烛,着火。
,水鱼,鳖；甲鱼。
,龙须菜,豌豆苗。
,电头发,烫发。
,田基,田埂。
,头牲,畜牲。
,亘（亙）,整个；完整的
,芋蒙,芋艿茎。也作“芋檬”：
,老历,农历；阴历。
,老公,丈夫。
,老华,本家。
,老行,内行；老练。
,老解,当兵的。
,老弟嫂,弟媳妇；弟妹。
,灰面,面粉。
,百叶肚,牛羊的重瓣胃，做食品时叫百叶或牛百叶
,死摸,很慢。
,夹（夾、裌、袷）,涩。
,扣针,别针。
,扣襻,纽扣；纽襻儿。也作“扣袢”
,当面骨,胫面骨。
,光头,秃子（头发脱光的人）。
,吊颈,上吊。
,竹篙,泛指竹竿。
,丢久,隔了很久，很久。
,丢过边,丢在一旁。
,伙猫,厨师；炊事员。
,后生家,小伙子；青年男子。
,后脑壳,头后面突出的部分。
,色子,重孙。
,衣车,缝纫机。
,冲沟,山 沟。
,羊仔,羊羔；小羊。
,羊癫疯,癫痫。
,米糊,一种代乳品，用米粉和糖等制成。
,讲嘴,聊天。
,农伯,农民。
,那凯,那里；那儿。
,那点,什么。
,寿枋,寿材。
,豆角,豇豆；长豇豆。
,芙蓉蛋,蒸蛋羹儿。
,苍蝇屎,痣。
,扶倒,扶着。
,扯起,拔起。
,扯淡,闲谈；聊天。也作“扯谈”。
,扯筋,抽风（病）。
,扯齁,哮喘病。
,折了,丢了。
,抛子,抓子儿。
,把,给；送；交。
,听闻,听到，听见。
,帐帘,帐檐。
,伯妈,伯母。
,谷本,稻种。
,条（條）,道。
,这凯,这里；这儿。
,这块,这儿；这里。
,灶台,锅台。
,灶门口,厨房。
,沙虫,孑孓。
,没乖,调皮。
,没喜欢,讨厌。
,补疤,补丁。
,鸡仔,小鸡。
,纸鹞,风筝。
,板车,独轮车。
,苞谷,玉米。
,茅司,厕所。
,抽桶,抽屉。
,拐子,胳膊肘。
,抵（牴、觝）,禁；耐；挨。
,抵得,受得了；值得。
,𫼝（搊）,提，拿；搬。
,转生,复生。
,㓥猪,杀猪。
,岭（嶺）,坡；山坡。
,岳父老,岳父。
,岳母娘,岳母。
,狗仔,小狗。
,狗牯,公狗。
,狗爪旁,汉字偏旁反犬旁（犭）。
,夜饭,晚饭。
,夜夜,每天晚上。
,变天,阴天。
,怕丑,害羞，害臊；怕难为情。
,注该,活该。
,泥巴,泥。
,波罗盖,膝盖。
,毒心,狠心；心肠狠毒。
,项鸡,母鸡（未生蛋的）。
,标（標）,窜；疾冲。
,树桠,树枝；树杈。
,封山,山墙。
,南蛇,蟒蛇。
,茭笋,茭白。
,砖刀,瓦刀（瓦匠用来砌墙、砍砖的工具）。
,面种,面酵子。
,面糊涂,面疙瘩汤。
,哈仔,傻瓜。
